match_number,match_id,date,event_name,ground_name,ground_city,team_1,team_2,toss_winner,toss_decision,team_1_total_runs,team_2_total_runs,winner,margin_runs,margin_wickets,winning_method,player_of_the_match
2538,1462896,2024-12-12,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Panama,Brazil,Panama,bat,122,123,Brazil,,6.0,,Yasar Haroon
2539,1462897,2024-12-12,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"St George's College Ground, Buenos Aires",Buenos Aires,Suriname,Mexico,Mexico,field,48,52,Mexico,,8.0,,PK Mohanarangam
2540,1462898,2024-12-12,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Bahamas,Cayman Islands,Bahamas,bat,108,109,Cayman Islands,,10.0,,J Baker
2541,1462899,2024-12-12,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"St George's College Ground, Buenos Aires",Buenos Aires,Bermuda,Belize,Belize,field,123,52,Bermuda,71.0,,,DC Stovell
2542,1462920,2024-12-12,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Botswana,Nigeria,Botswana,bat,49,51,Nigeria,,10.0,,Sulaimon Runsewe
2543,1462923,2024-12-12,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,Rwanda,Rwanda,field,148,98,Uganda,50.0,,,AR Ramjani
2544,1432212,2024-12-13,Pakistan tour of South Africa,"SuperSport Park, Centurion",Centurion,Pakistan,South Africa,Pakistan,bat,206,210,South Africa,,7.0,,RR Hendricks
2545,1462913,2024-12-13,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Nigeria,Rwanda,Nigeria,bat,151,114,Nigeria,37.0,,,R Abdulkareem
2546,1462930,2024-12-13,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,Botswana,Uganda,bat,141,109,Uganda,32.0,,,F Nsubuga
2547,1463652,2024-12-13,Gulf T20I Championship,"ICC Academy, Dubai",Dubai,Bahrain,United Arab Emirates,Bahrain,bat,113,117,United Arab Emirates,,8.0,,Waseem Muhammad
2548,1463653,2024-12-13,Gulf T20I Championship,"ICC Academy, Dubai",Dubai,Saudi Arabia,Kuwait,Kuwait,field,136,140,Kuwait,,6.0,,MNM Aslam
2549,1462900,2024-12-14,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"St Albans Club, Buenos Aires",Buenos Aires,Cayman Islands,Brazil,Cayman Islands,bat,224,65,Cayman Islands,159.0,,,YSD Seneveratne
