match_number,match_id,date,event_name,ground_name,ground_city,team_1,team_2,toss_winner,toss_decision,team_1_total_runs,team_2_total_runs,winner,margin_runs,margin_wickets,winning_method,player_of_the_match
2447,1456442,2024-11-10,New Zealand tour of Sri Lanka,Rangiri Dambulla International Stadium,Dambulla,New Zealand,Sri Lanka,Sri Lanka,field,108,103,New Zealand,5.0,,,LH Ferguson
2448,1456867,2024-11-12,Myanmar tour of Indonesia,Udayana Cricket Ground,Bali,Indonesia,Myanmar,Myanmar,field,192,56,Indonesia,136.0,,,KD Kesuma
2449,1449303,2024-11-13,India tour of South Africa,"SuperSport Park, Centurion",Centurion,India,South Africa,South Africa,field,219,208,India,11.0,,,Tilak Varma
2450,1454819,2024-11-13,Netherlands tour of Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Netherlands,Oman,Oman,field,138,139,Oman,,3.0,,Hammad Mirza
2451,1456868,2024-11-13,Myanmar tour of Indonesia,Udayana Cricket Ground,Bali,Myanmar,Indonesia,Myanmar,bat,93,94,Indonesia,,9.0,,GA Priandana
2452,1426552,2024-11-14,Pakistan tour of Australia,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Australia,Pakistan,Pakistan,field,93,64,Australia,29.0,,,GJ Maxwell
2453,1433375,2024-11-14,England tour of West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,West Indies,England,England,field,145,149,England,,3.0,,S Mahmood
2454,1454820,2024-11-14,Netherlands tour of Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Netherlands,Oman,Oman,field,185,135,Netherlands,50.0,,,SA Edwards
2455,1449304,2024-11-15,India tour of South Africa,"The Wanderers Stadium, Johannesburg",Johannesburg,India,South Africa,India,bat,283,148,India,135.0,,,Tilak Varma
2456,1456869,2024-11-15,Myanmar tour of Indonesia,Udayana Cricket Ground,Bali,Myanmar,Indonesia,Indonesia,field,113,117,Indonesia,,5.0,,Ahmad Ramdoni
2457,1426553,2024-11-16,Pakistan tour of Australia,Sydney Cricket Ground,Sydney,Australia,Pakistan,Australia,bat,147,134,Australia,13.0,,,SH Johnson
2458,1433376,2024-11-16,England tour of West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,England,West Indies,West Indies,field,218,221,West Indies,,5.0,,SD Hope
2459,1454821,2024-11-16,Netherlands tour of Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Netherlands,Oman,Oman,field,147,118,Netherlands,29.0,,,K Klein
2460,1456870,2024-11-16,Myanmar tour of Indonesia,Udayana Cricket Ground,Bali,Myanmar,Indonesia,Myanmar,bat,127,128,Indonesia,,4.0,,Paing Danu
2461,1433377,2024-11-17,England tour of West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,West Indies,England,England,field,44,0,no result,,,,
